iter	Passed	Remaining
0	1	182
1	3	147
2	4	134
3	5	121
4	6	118
5	7	113
6	8	110
7	9	107
8	10	105
9	11	103
10	12	101
11	13	100
12	14	98
13	15	97
14	16	95
15	17	94
16	19	92
17	20	91
18	21	89
19	22	88
20	23	87
21	24	85
22	25	84
23	26	83
24	27	81
25	28	80
26	29	79
27	30	79
28	32	78
29	33	77
30	34	75
31	35	74
32	36	73
33	37	72
34	38	71
35	39	69
36	40	68
37	41	67
38	42	66
39	43	65
40	44	63
41	44	62
42	45	60
43	47	59
44	48	58
45	49	57
46	50	56
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	57	49
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	39
63	67	38
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	17
84	90	15
85	91	14
86	92	13
87	93	12
88	94	11
89	96	10
90	97	9
91	98	8
92	100	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	106	1
99	107	0
