iter	Passed	Remaining
0	171	170952
1	173	86700
2	176	58516
3	178	44478
4	181	36114
5	183	30363
6	184	26235
7	187	23202
8	188	20790
9	191	18978
10	194	17514
11	197	16249
12	199	15175
13	203	14328
14	209	13769
15	212	13042
16	214	12406
17	217	11853
18	221	11433
19	225	11029
20	228	10640
21	231	10270
22	236	10033
23	240	9768
24	242	9476
25	245	9201
26	248	8954
27	252	8782
28	255	8560
29	258	8344
30	260	8137
31	263	7976
32	267	7840
33	270	7679
34	272	7520
35	276	7413
36	279	7286
37	282	7148
38	284	7016
39	288	6929
40	292	6831
41	295	6750
42	298	6644
43	301	6544
44	304	6465
45	322	6684
46	325	6592
47	327	6502
48	330	6420
49	333	6333
50	337	6277
51	339	6194
52	342	6116
53	344	6039
54	347	5962
55	351	5921
56	354	5860
57	357	5798
58	359	5740
59	362	5676
60	365	5628
61	367	5567
62	370	5507
63	372	5448
64	374	5391
65	378	5351
66	381	5308
67	383	5257
68	386	5212
69	390	5189
70	394	5166
71	397	5118
72	399	5070
73	401	5023
74	403	4979
75	406	4940
76	408	4899
77	410	4858
78	413	4819
79	415	4779
80	417	4741
81	420	4704
82	421	4654
83	423	4619
84	425	4585
85	428	4550
86	430	4516
87	432	4484
88	438	4485
89	440	4458
90	443	4430
91	446	4402
92	448	4375
93	453	4367
94	455	4343
95	458	4319
96	461	4293
97	463	4267
98	467	4251
99	471	4239
100	473	4216
101	476	4196
102	479	4171
103	482	4156
104	485	4134
105	487	4110
106	489	4087
107	492	4065
108	496	4055
109	499	4044
110	503	4030
111	505	4010
112	508	3989
113	512	3986
114	515	3968
115	518	3947
116	519	3923
117	522	3907
118	526	3899
119	529	3883
120	532	3865
121	533	3842
122	536	3824
123	539	3811
124	542	3799
125	545	3782
126	548	3768
127	550	3752
128	553	3735
129	557	3730
130	559	3714
131	562	3698
132	564	3682
133	567	3666
134	570	3658
135	573	3641
136	575	3625
137	577	3609
138	580	3593
139	584	3589
140	587	3580
141	588	3557
142	590	3541
143	593	3526
144	595	3510
145	598	3503
146	601	3490
147	603	3475
148	606	3461
149	608	3448
150	610	3434
151	613	3425
152	616	3412
153	618	3398
154	620	3384
155	623	3372
156	626	3362
157	631	3363
158	633	3352
159	636	3339
160	637	3320
161	639	3308
162	642	3301
163	645	3292
164	648	3283
165	651	3272
166	653	3261
167	657	3256
168	660	3246
169	663	3238
170	665	3228
171	668	3219
172	674	3224
173	677	3215
174	679	3204
175	682	3193
176	684	3182
177	689	3182
178	692	3177
179	695	3168
180	698	3158
181	701	3153
182	704	3146
183	707	3137
184	709	3127
185	712	3118
186	716	3114
187	720	3111
188	723	3102
189	725	3093
190	728	3084
191	732	3083
192	735	3075
193	737	3065
194	740	3056
195	742	3046
196	746	3043
197	749	3035
198	751	3025
199	754	3017
200	757	3009
201	760	3003
202	763	2997
203	766	2989
204	768	2982
205	771	2975
206	776	2975
207	779	2968
208	782	2962
209	785	2954
210	787	2946
211	791	2942
212	794	2935
213	796	2926
214	799	2918
215	801	2908
216	804	2901
217	806	2894
218	809	2886
219	811	2878
220	814	2869
221	816	2861
222	820	2858
223	823	2851
224	825	2845
225	828	2837
226	831	2830
227	833	2822
228	836	2817
229	839	2809
230	842	2804
231	844	2795
232	847	2788
233	850	2784
234	853	2777
235	855	2770
236	858	2763
237	860	2756
238	864	2752
239	867	2745
240	869	2738
241	872	2731
242	874	2724
243	877	2718
244	880	2713
245	883	2707
246	885	2700
247	888	2692
248	890	2686
249	895	2685
250	897	2678
251	900	2671
252	902	2664
253	905	2659
254	909	2656
255	911	2649
256	914	2642
257	916	2636
258	919	2630
259	923	2628
260	926	2622
261	928	2616
262	931	2609
263	933	2602
264	936	2598
265	939	2592
266	942	2586
267	944	2580
268	947	2574
269	950	2570
270	954	2567
271	958	2565
272	960	2558
273	963	2552
274	967	2549
275	969	2543
276	972	2537
277	974	2531
278	977	2525
279	982	2525
280	985	2520
281	987	2514
282	989	2508
283	992	2501
284	997	2501
285	999	2495
286	1004	2494
287	1006	2488
288	1009	2483
289	1012	2479
290	1015	2473
291	1017	2467
292	1020	2461
293	1022	2455
294	1027	2456
295	1031	2452
296	1033	2446
297	1036	2441
298	1041	2441
299	1043	2435
300	1046	2430
301	1050	2427
302	1057	2432
303	1060	2427
304	1065	2426
305	1072	2433
306	1078	2433
307	1087	2443
308	1091	2440
309	1095	2437
310	1102	2442
311	1106	2439
312	1110	2438
313	1116	2439
314	1120	2436
315	1128	2442
316	1132	2440
317	1139	2443
318	1148	2451
319	1152	2449
320	1163	2460
321	1165	2454
322	1169	2450
323	1176	2453
324	1179	2449
325	1182	2444
326	1190	2450
327	1201	2461
328	1209	2466
329	1212	2462
330	1216	2459
331	1223	2461
332	1226	2456
333	1230	2454
334	1235	2452
335	1239	2449
336	1242	2445
337	1251	2451
338	1255	2447
339	1259	2445
340	1264	2443
341	1267	2438
342	1270	2434
343	1274	2429
344	1284	2438
345	1288	2434
346	1291	2430
347	1297	2431
